experiment,parameter,avg_train,avg_test,best_test,std_test,avg_f1,best_f1,run1_train,run1_test,run1_f1,run2_train,run2_test,run2_f1,run3_train,run3_test,run3_f1,run4_train,run4_test,run4_f1,run5_train,run5_test,run5_f1
09_Dropout,0.0,0.93211,0.76253,0.79241,0.02261,0.71451,0.7498,0.803084,0.78481,0.693012,0.957465,0.756962,0.734454,0.975792,0.744304,0.708755,0.950569,0.734177,0.686529,0.973638,0.792405,0.749799
09_Dropout,0.1,0.89629,0.76152,0.77215,0.01005,0.7321,0.74941,0.90793,0.744304,0.707568,0.90842,0.76962,0.738637,0.897447,0.756962,0.727946,0.879703,0.772152,0.749408,0.887961,0.764557,0.736933
09_Dropout,0.2,0.86269,0.74633,0.76456,0.02034,0.72404,0.73738,0.856388,0.724051,0.699925,0.844184,0.718987,0.710405,0.877201,0.764557,0.736933,0.86133,0.762025,0.735541,0.874341,0.762025,0.737382
09_Dropout,0.3,0.74321,0.74582,0.81013,0.10149,0.6567,0.76309,0.787225,0.810127,0.729128,0.825521,0.805063,0.759453,0.550176,0.756962,0.485174,0.710411,0.546835,0.546649,0.842707,0.810127,0.763093
09_Dropout,0.5,0.54769,0.66532,0.78481,0.19776,0.48157,0.6203,0.50793,0.270886,0.230019,0.545573,0.744304,0.543436,0.503081,0.751899,0.448387,0.611986,0.78481,0.6203,0.569859,0.774684,0.565714
10_Number_of_epochs,50,0.86338,0.76,0.80759,0.06604,0.72106,0.76209,0.851982,0.807595,0.732785,0.90842,0.76962,0.738637,0.814701,0.63038,0.621349,0.870954,0.792405,0.76209,0.870826,0.8,0.750458
10_Number_of_epochs,100,0.89673,0.7757,0.82025,0.02894,0.74483,0.78803,0.889868,0.741772,0.700259,0.902344,0.779747,0.75652,0.894366,0.746835,0.718661,0.886702,0.820253,0.788034,0.910369,0.789873,0.76066
10_Number_of_epochs,200,0.91334,0.78127,0.79747,0.00955,0.74797,0.76692,0.91674,0.774684,0.73552,0.907552,0.78481,0.753894,0.925176,0.779747,0.748103,0.900262,0.797468,0.76692,0.91696,0.76962,0.735428
10_Number_of_epochs,350,0.91981,0.78987,0.79494,0.00358,0.75486,0.75818,0.912775,0.792405,0.755761,0.919705,0.789873,0.757667,0.931778,0.78481,0.747406,0.89895,0.787342,0.755266,0.935852,0.794937,0.75818
11_BatchNorm,without_BN,0.90724,0.78582,0.8,0.01622,0.75628,0.7731,0.897357,0.792405,0.761093,0.916667,0.8,0.773102,0.903609,0.75443,0.723559,0.895451,0.787342,0.760149,0.923111,0.794937,0.763506
11_BatchNorm,with_BN,0.89629,0.76152,0.77215,0.01005,0.7321,0.74941,0.90793,0.744304,0.707568,0.90842,0.76962,0.738637,0.897447,0.756962,0.727946,0.879703,0.772152,0.749408,0.887961,0.764557,0.736933
